1.52  -86.00  -86.00
2.00  -88.00  -88.00
2.53  -88.00  -88.00
3.03  -85.00  -85.53
3.53  -83.00  -83.34
4.05  -83.00  -82.41
4.56  -86.00  -83.61
5.07  0.00  -82.86
5.55  -85.00  -83.79
6.04  -83.00  -83.21
6.53  0.00  -82.78
7.05  -85.00  -83.60
7.56  -83.00  -83.21
8.07  -84.00  -83.31
8.58  0.00  -83.09
9.09  -86.00  -84.10
9.59  -87.00  -85.08
10.09  -87.00  -85.75
10.59  -87.00  -86.25
11.08  -88.00  -86.91
11.57  -86.00  -86.85
12.06  0.00  -87.07
12.55  -86.00  -86.84
13.05  -84.00  -86.04
13.55  -85.00  -85.74
14.06  0.00  -85.72
14.55  -85.00  -85.44
15.07  -87.00  -85.92
15.56  -89.00  -86.89
16.08  -88.00  -87.34
16.60  0.00  -87.54
17.13  0.00  -87.74
17.63  -84.00  -86.22
18.12  -87.00  -86.49
18.61  0.00  -86.49
19.12  0.00  -86.49
19.64  -84.00  -85.34
20.14  -85.00  -85.13
20.64  0.00  -84.98
21.15  -84.00  -84.49
21.66  0.00  -84.30
22.16  0.00  -84.11
22.67  -84.00  -83.95
23.17  -85.00  -84.24
23.71  -85.00  -84.41
24.22  0.00  -84.32
24.72  -87.00  -85.28
25.23  -89.00  -86.57
25.73  0.00  -86.79
26.23  -88.00  -87.38
26.74  0.00  -87.66
27.23  0.00  -87.92
27.74  -87.00  -87.63
28.25  -84.00  -86.36
28.74  -82.00  -84.90
29.25  -83.00  -84.18
29.76  -85.00  -84.24
30.25  -83.00  -83.74
30.77  0.00  -83.48
31.29  -84.00  -83.50
31.79  0.00  -83.29
32.28  0.00  -83.08
32.80  0.00  -83.08
33.30  0.00  -83.08
33.81  -86.00  -84.81
34.31  0.00  -85.01
34.83  -89.00  -87.08
35.36  -85.00  -86.53
35.86  -88.00  -87.22
36.36  -87.00  -87.39
36.87  -86.00  -87.21
37.38  -85.00  -86.75
37.88  -86.00  -86.64
38.37  -87.00  -86.82
38.88  -88.00  -87.24
39.42  0.00  -87.42
39.93  -87.00  -87.38
40.47  -86.00  -87.01
40.97  -89.00  -87.68
41.48  -89.00  -88.18
41.98  -87.00  -87.98
42.49  -86.00  -87.51
42.99  -87.00  -87.40
43.51  -86.00  -87.02
44.01  -88.00  -87.27
44.51  0.00  -87.28
44.98  -87.00  -87.19
45.48  -88.00  -87.45
